area,region,geo_lookup,industrial_size,rental_industrial_2022:2,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,latitude,longitude
 Bloemfontein average,Bloemfontein," Bloemfontein average, Bloemfontein, South Africa", 500m�,39.97,,,,,,,,,,,,,,,,,,,,,,,,,,-29.12107,26.214
 East End,Bloemfontein," East End, Bloemfontein, South Africa", 500m�,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,-29.12107,26.214
 Estoire,Bloemfontein," Estoire, Bloemfontein, South Africa", 500m�,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.12107,26.214
 Harvey Road,Bloemfontein," Harvey Road, Bloemfontein, South Africa", 500m�,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.1254574,26.2240568
 Hilton,Bloemfontein," Hilton, Bloemfontein, South Africa", 500m�,42.75,,,,,,,,,,,,,,,,,,,,,,,,,,-29.1019444,26.2430556
 Old Industrial,Bloemfontein," Old Industrial, Bloemfontein, South Africa", 500m�,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,-29.12107,26.214
 Quaggafontein,Bloemfontein," Quaggafontein, Bloemfontein, South Africa", 500m�,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.1304562,26.1436916
 Airport Industria (east of Borchards Quarry),Cape Town," Airport Industria (east of Borchards Quarry), Cape Town, South Africa", 500m�,71.88,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Airport Industria (north of sewerage farm),Cape Town," Airport Industria (north of sewerage farm), Cape Town, South Africa", 500m�,66.67,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Airport Industria (west of Borchards Quarry),Cape Town," Airport Industria (west of Borchards Quarry), Cape Town, South Africa", 500m�,68.13,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Atlantis,Cape Town," Atlantis, Cape Town, South Africa", 500m�,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.5672222,18.5002778
 Bellville Oakdale,Cape Town," Bellville Oakdale, Cape Town, South Africa", 500m�,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,-33.8942265,18.6488585
 Bellville South/Sacks Circle,Cape Town," Bellville South/Sacks Circle, Cape Town, South Africa", 500m�,51.25,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Bellville Stikland/Kaymor,Cape Town," Bellville Stikland/Kaymor, Cape Town, South Africa", 500m�,56.25,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Bellville Triangle,Cape Town," Bellville Triangle, Cape Town, South Africa", 500m�,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Blackheath,Cape Town," Blackheath, Cape Town, South Africa", 500m�,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,-33.9356509,18.4142813
 Brackenfell Industria,Cape Town," Brackenfell Industria, Cape Town, South Africa", 500m�,58.21,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Brackengate/Icon Business Park,Cape Town," Brackengate/Icon Business Park, Cape Town, South Africa", 500m�,70.83,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Cape Town average,Cape Town," Cape Town average, Cape Town, South Africa", 500m�,58.79,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Capricorn Park,Cape Town," Capricorn Park, Cape Town, South Africa", 500m�,63.33,,,,,,,,,,,,,,,,,,,,,,,,,,-34.0920533,18.4882371
 Contermanskloof,Cape Town," Contermanskloof, Cape Town, South Africa", 500m�,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.8099695,18.5574159
 Diep River,Cape Town," Diep River, Cape Town, South Africa", 500m�,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.8509769,18.5062574
 Durbanville Industrial Park,Cape Town," Durbanville Industrial Park, Cape Town, South Africa", 500m�,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Elsies River (excl. Central Park),Cape Town," Elsies River (excl. Central Park), Cape Town, South Africa", 500m�,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Epping 1 & 2,Cape Town," Epping 1 & 2, Cape Town, South Africa", 500m�,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.9335257,18.5330355
 Everite Brackenfell,Cape Town," Everite Brackenfell, Cape Town, South Africa", 500m�,61.67,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Glosderry,Cape Town," Glosderry, Cape Town, South Africa", 500m�,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.9894891,18.4850336
 Killarney Gardens,Cape Town," Killarney Gardens, Cape Town, South Africa", 500m�,49.69,,,,,,,,,,,,,,,,,,,,,,,,,,-33.8253939,18.5345972
 Kraaifontein,Cape Town," Kraaifontein, Cape Town, South Africa", 500m�,53.33,,,,,,,,,,,,,,,,,,,,,,,,,,-33.8477778,18.7161111
 Kuils River,Cape Town," Kuils River, Cape Town, South Africa", 500m�,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.8579607,18.6676275
 Lansdowne Nerissa,Cape Town," Lansdowne Nerissa, Cape Town, South Africa", 500m�,51.67,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Maitland,Cape Town," Maitland, Cape Town, South Africa", 500m�,55.83,,,,,,,,,,,,,,,,,,,,,,,,,,-33.9225,18.4930556
 Marconi Beam,Cape Town," Marconi Beam, Cape Town, South Africa", 500m�,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.8723068,18.5156689
 Montague Gardens,Cape Town," Montague Gardens, Cape Town, South Africa", 500m�,63.17,,,,,,,,,,,,,,,,,,,,,,,,,,-33.8597498,18.5229164
 Ndabeni,Cape Town," Ndabeni, Cape Town, South Africa", 500m�,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,-33.928485,18.4916241
 Northgate Industrial Park,Cape Town," Northgate Industrial Park, Cape Town, South Africa", 500m�,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Okavango,Cape Town," Okavango, Cape Town, South Africa", 500m�,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.7992446,18.6881485
 Ottery Hillstar,Cape Town," Ottery Hillstar, Cape Town, South Africa", 500m�,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,-34.007327,18.4997451
 Ottery Sunset,Cape Town," Ottery Sunset, Cape Town, South Africa", 500m�,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Paarden Eiland/Metro,Cape Town," Paarden Eiland/Metro, Cape Town, South Africa", 500m�,67.75,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Paarl,Cape Town," Paarl, Cape Town, South Africa", 500m�,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,-33.9227154,18.5233059
 Parow Beaconvale,Cape Town," Parow Beaconvale, Cape Town, South Africa", 500m�,56.25,,,,,,,,,,,,,,,,,,,,,,,,,,-33.9096806,18.5862094
 Parow East,Cape Town," Parow East, Cape Town, South Africa", 500m�,51.67,,,,,,,,,,,,,,,,,,,,,,,,,,-33.9056485,18.6006619
 Parow Industria,Cape Town," Parow Industria, Cape Town, South Africa", 500m�,52.93,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Racing Park,Cape Town," Racing Park, Cape Town, South Africa", 500m�,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.814152,18.5354943
 Rivergate,Cape Town," Rivergate, Cape Town, South Africa", 500m�,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,-33.7978741,18.5323278
 Saxenburg Industrial Park,Cape Town," Saxenburg Industrial Park, Cape Town, South Africa", 500m�,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.9533589,18.7017911
 Tygerberg Business Park,Cape Town," Tygerberg Business Park, Cape Town, South Africa", 500m�,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Viking Place,Cape Town," Viking Place, Cape Town, South Africa", 500m�,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Woodstock/Salt River/Observatory,Cape Town," Woodstock/Salt River/Observatory, Cape Town, South Africa", 500m�,60.17,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 WP Park,Cape Town," WP Park, Cape Town, South Africa", 500m�,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,-33.9248155,18.5471006
 Aeroton,Central Witwatersrand ," Aeroton, Central Witwatersrand , South Africa", 500m�,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Amalgam,Central Witwatersrand ," Amalgam, Central Witwatersrand , South Africa", 500m�,41.67,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Barbeque Downs,Central Witwatersrand ," Barbeque Downs, Central Witwatersrand , South Africa", 500m�,72.8,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Benrose,Central Witwatersrand ," Benrose, Central Witwatersrand , South Africa", 500m�,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Booysens/Booysens Reserve/Ophirton,Central Witwatersrand ," Booysens/Booysens Reserve/Ophirton, Central Witwatersrand , South Africa", 500m�,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Bramley View/Lombardy West,Central Witwatersrand ," Bramley View/Lombardy West, Central Witwatersrand , South Africa", 500m�,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Cambridge Park,Central Witwatersrand ," Cambridge Park, Central Witwatersrand , South Africa", 500m�,57.67,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Central Witwatersrand average,Central Witwatersrand ," Central Witwatersrand average, Central Witwatersrand , South Africa", 500m�,54.85,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Chloorkop,Central Witwatersrand ," Chloorkop, Central Witwatersrand , South Africa", 500m�,50.83,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 City Deep,Central Witwatersrand ," City Deep, Central Witwatersrand , South Africa", 500m�,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Clayville/Olifantsfontein,Central Witwatersrand ," Clayville/Olifantsfontein, Central Witwatersrand , South Africa", 500m�,61.67,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Cleveland/Heriotdale,Central Witwatersrand ," Cleveland/Heriotdale, Central Witwatersrand , South Africa", 500m�,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Commercia,Central Witwatersrand ," Commercia, Central Witwatersrand , South Africa", 500m�,56.83,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Corporate Park (Midrand),Central Witwatersrand ," Corporate Park (Midrand), Central Witwatersrand , South Africa", 500m�,67.17,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Cosmo Business Park,Central Witwatersrand ," Cosmo Business Park, Central Witwatersrand , South Africa", 500m�,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Crown Mines,Central Witwatersrand ," Crown Mines, Central Witwatersrand , South Africa", 500m�,38.33,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Denver (New),Central Witwatersrand ," Denver (New), Central Witwatersrand , South Africa", 500m�,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Denver (Old),Central Witwatersrand ," Denver (Old), Central Witwatersrand , South Africa", 500m�,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Devland/Nancefield,Central Witwatersrand ," Devland/Nancefield, Central Witwatersrand , South Africa", 500m�,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Industria Central Wits,Central Witwatersrand ," Industria Central Wits, Central Witwatersrand , South Africa", 500m�,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Kew/Wynberg East,Central Witwatersrand ," Kew/Wynberg East, Central Witwatersrand , South Africa", 500m�,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Kramerville/Eastgate Ext 12 & Ext 13,Central Witwatersrand ," Kramerville/Eastgate Ext 12 & Ext 13, Central Witwatersrand , South Africa", 500m�,69.25,,,,,,,,,,,,,,,,,,,,,,,,,,50.7236,-3.52751
 Kya Sand East,Central Witwatersrand ," Kya Sand East, Central Witwatersrand , South Africa", 500m�,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Kya Sand West,Central Witwatersrand ," Kya Sand West, Central Witwatersrand , South Africa", 500m�,51.8,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Kyalami Business Park,Central Witwatersrand ," Kyalami Business Park, Central Witwatersrand , South Africa", 500m�,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Lanseria Corporate Estate,Central Witwatersrand ," Lanseria Corporate Estate, Central Witwatersrand , South Africa", 500m�,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Linbro Park,Central Witwatersrand ," Linbro Park, Central Witwatersrand , South Africa", 500m�,66.06,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Longlake,Central Witwatersrand ," Longlake, Central Witwatersrand , South Africa", 500m�,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Lords View,Central Witwatersrand ," Lords View, Central Witwatersrand , South Africa", 500m�,68.17,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
