area,region,geo_lookup,office_grade,rental_office_2022:2,latitude,longitude
 Bloemfontein CBD,Bloemfontein, Bloemfontein CBD; Bloemfontein; South Africa, grade A,117.0,-29.116874,26.2197159
 Westdene,Bloemfontein, Westdene; Bloemfontein; South Africa, grade A,115.0,50.8592269,-0.1620789
 Cape Town CBD,Cape Town, Cape Town CBD; Cape Town; South Africa, grade A,131.5,-33.9222066,18.4172844
 Cape Town decentralized,Cape Town, Cape Town decentralized; Cape Town; South Africa, grade A,139.1,,
 Century City,Cape Town, Century City; Cape Town; South Africa, grade A,143.75,34.0573589,-118.4146078
 Claremont Lower,Cape Town, Claremont Lower; Cape Town; South Africa, grade A,159.0,43.3734068,-72.3462005
 Claremont Upper,Cape Town, Claremont Upper; Cape Town; South Africa, grade A,152.0,51.2281106,-0.3323575
 Durbanville,Cape Town, Durbanville; Cape Town; South Africa, grade A,130.0,-33.8402778,18.6494444
 Gardens,Cape Town, Gardens; Cape Town; South Africa, grade A,138.0,-33.9327778,18.4097222
 Goodwood (N1 City),Cape Town, Goodwood (N1 City); Cape Town; South Africa, grade A,122.5,-33.8940341,18.5591131
 Granger Bay,Cape Town, Granger Bay; Cape Town; South Africa, grade A,163.75,-33.9016667,18.4191667
 Hout Bay,Cape Town, Hout Bay; Cape Town; South Africa, grade A,135.0,-34.043093,18.355645
 Kenilworth (Racecourse),Cape Town, Kenilworth (Racecourse); Cape Town; South Africa, grade A,124.67,-33.99553,18.4850198
 Kuils River,Cape Town, Kuils River; Cape Town; South Africa, grade A,72.5,-33.8430868,18.6678235
 Milnerton,Cape Town, Milnerton; Cape Town; South Africa, grade A,126.67,-33.8794444,18.4963889
 Mowbray,Cape Town, Mowbray; Cape Town; South Africa, grade A,111.67,-33.9483333,18.4741667
 Newlands,Cape Town, Newlands; Cape Town; South Africa, grade A,173.75,55.8171461,-4.2804376
 Noordhoek (Sun Valley),Cape Town, Noordhoek (Sun Valley); Cape Town; South Africa, grade A,130.0,-34.1207993,18.3917929
 Observatory/Black River Park,Cape Town, Observatory/Black River Park; Cape Town; South Africa, grade A,126.67,-33.9344805,18.4721497
 Paarl,Cape Town, Paarl; Cape Town; South Africa, grade A,170.0,-33.7310282,18.9642117
 Pinelands/Golf Park,Cape Town, Pinelands/Golf Park; Cape Town; South Africa, grade A,130.0,-33.9478648,18.4904015
 Rondebosch,Cape Town, Rondebosch; Cape Town; South Africa, grade A,141.14,-33.9680556,18.4877778
 Salt River,Cape Town, Salt River; Cape Town; South Africa, grade A,110.83,33.4667115,-111.8640311
 Sea Point,Cape Town, Sea Point; Cape Town; South Africa, grade A,138.75,-33.9172222,18.3922222
 Table View/Parklands,Cape Town, Table View/Parklands; Cape Town; South Africa, grade A,140.0,-33.7971984,18.4956559
 Tokai,Cape Town, Tokai; Cape Town; South Africa, grade A,145.0,6.0285312,100.4069001
 Tyger Valley area,Cape Town, Tyger Valley area; Cape Town; South Africa, grade A,133.44,44.83141,9.41722
 Tygerberg Hills/Plattekloof,Cape Town, Tygerberg Hills/Plattekloof; Cape Town; South Africa, grade A,154.17,,
 Westlake,Cape Town, Westlake; Cape Town; South Africa, grade A,143.0,32.991226,-97.1943701
 Woodstock,Cape Town, Woodstock; Cape Town; South Africa, grade A,109.17,42.0410578,-74.1182492
 Wynberg,Cape Town, Wynberg; Cape Town; South Africa, grade A,125.0,-34.0036249,18.4672507
 Durban Berea,Durban, Durban Berea; Durban; South Africa, grade A,125.0,-29.8505556,31.0019444
 Durban decentralized,Durban, Durban decentralized; Durban; South Africa, grade A,144.3,,
 Essex Terrace,Durban, Essex Terrace; Durban; South Africa, grade A,154.17,51.6511064,-3.9341774
 Hillcrest-Kloof (Upper Highway),Durban, Hillcrest-Kloof (Upper Highway); Durban; South Africa, grade A,157.5,,
 La Lucia Ridge,Durban, La Lucia Ridge; Durban; South Africa, grade A,150.63,40.89399,-72.89594
 Pinetown,Durban, Pinetown; Durban; South Africa, grade A,70.0,38.74539,-75.2237981
 Umhlanga,Durban, Umhlanga; Durban; South Africa, grade A,159.17,-31.4642608,27.213629
 Westville CBD,Durban, Westville CBD; Durban; South Africa, grade A,135.0,,
 Westway,Durban, Westway; Durban; South Africa, grade A,140.0,31.9591108,-106.575002
 Beacon Bay,East London, Beacon Bay; East London; South Africa, grade A,127.0,-32.9694444,27.9447222
